id,b_cpt_num,Land,Gebiet,Kries,Bezirk,lvl_5,name_el,type,homonyms,G_id,text,nameOld,nameNew,nameEn,lat,lon
0,1,Epirus,Joannina,,Chuliarades,,Ἀμπροβίτσα,Örtlichkeit,1,1,"1. Ἀμπροβίτσα, Örtlichkeit im Bez. Chuliarades, s. HX IX 183. Nach Mertzos a. a. O. aus einem mir unbekannten slav. *abrov »Holunder«. Eher gehört der Name zu skr. Obrovac (aus *Obrovьcь), oder auch skr. Obrovnica. Am wahrscheinlichsten wäre für mich aber Zurückführung auf *Ταμπροβίτσα = slav. Do̢brovica.",Ἀμπροβίτσα,Ἀμπροβίτσα,Amprovitsa,39.548355, 20.992273
1,1,Epirus,Joannina,Philiatōn,,,Ἀράχοβα,ON,1,2,"2. Ἀράχοβα ON, Kr. Philiatōn (Lex., A.), aus altslav. Orěchovo zu orěchъ »Nuß, Nußbaum«, s. Hilferding I 287, Miklosich, Bildung 291.",Αράχοβα,Ριζό,Rizo,39.6266574, 20.4115136
2,1,Epirus,Joannina,Joannina,,,Ἀραχοβίτσα,ON,1,3,"3. Ἀραχοβίτσα ON, Kr. Joannina (Lex., A.). Belegt auch als Ἀρεαχοβίτζαν, Acc. s. Epirotica, Frgm. 2 ed. Bonn. S. 227, 13. Der Name stammt aus altslav. Orěchovica. Vgl. skr. ON Orahavica. Weitere Belege s. Miklosich, Bildung 291.",Αραχωβίτσα,Λευκοθέα,Lefkothea,39.6880964, 20.6585929
3,1,Epirus,Joannina,Joannina,,,Ἀρδομίστα,ON,1,4,"4. Ἀρδομίστα ON, Kr. Joannina (Lex.), urk. a. 1319 s. Mikl.-Müller V 83. Vielleicht zu poln. Radom, sloven. Radomlje, die von einem PN abgeleitet sind. Mit Suff. -išče.",Αρδομίστα,Λογγάδες,Longades,39.6596027, 20.9402342
4,1,Epirus,Joannina,Joannina,,,Ἄρδοσι,ON,1,5,"5. Ἄρδοσι ON, Kr. Joannina (Lex.). Evtl. zu sloven. Radoše, das ebenfalls von einem PN stammt.",Άρδοση,Άρδοση,Ardosi, 39.4267883, 20.7189359
5,1,Epirus,Joannina,,,,Ἀρλίσκα,locus,1,6,"6. Ἀρλίσκα f. »locus Epiri, distr. Bagenetiae«, Mikl.-Müller III Nr. 30 (a. 1361), Solovjev-Mošin 234, 39. Ich gehe aus von altslav. *Orьlьskъ: orьlъ »Adler«. Dazu vgl. russ. ON Orelьskъ in der Hypatius-Chronik s. a. 1204, poln. ON Orzelec (SL Geogr. VII 612).",
6,1,Epirus,Joannina,Konitsa,,,Ἀρμάτοβο,ON,1,7,"7. Ἀρμάτοβο ON, Kr. Konitsa (Lex., A.). Eine slavische Ableitung von einem griech. PN Ἀρμᾶτος, aus lat. Armātus.",Αρμάτοβο,Άρματα,Armata,40.0341020, 20.9674509
7,1,Epirus,Joannina,,Katsanochoria,Kotortsi,Βάβω,Hügel,1,8,"8. Βάβω Hügel in der Gegend von Kotortsi, Katsanochoria, s. HX VIII 100. Dort die Erklärung: ἀπὸ τὸν ἐπ᾽ αὐτοῦ (scil. τοῦ λόφου) κείμενον λίθον ὁμοιάζοντα πρὸς γραῖαν. Also zu slav. baba »altes Weib«.",
8,1,Epirus,Joannina,,,,Βαγενετία,ON,1,9,"9. Βαγενετία »thema sive districtus Epiri«, Mikl.-Müller III Nr. 30 (a. 1361), auch ibid. V S. 83 (Urk. 1319) und Chron. Morea (ed. J. Schmitt s. v.). Siehe auch Solovjev-Mošin 234 und Veïs, Byz.-Ngr. Jahrb. XIII 65. Heute ON Βαγενήτι, Kr. Joannina (Lex. und A.), auch Βαγενίτη im Kr. Konitsa, s. HX EX 219. Zu vergleichen ist etwa der skr. Name Vôjnica »Stadt in Bosnien« (Vuk) oder noch besser skr. Vojnιć (mehrfech belegt), das auf *Vojьnitj- zurückgehen muß. In den Acta S. Demetrii, Migne PGr. 116 Sp. 1325, wird der südslavische Stamm Βαιουνῖται erwähnt. Dem griech. τ kann ein volkssprachliches τσ zugrunde liegen. Vgl. Niederle SS II 434 ff. Nicht überzeugend ist für mich der Versuch von Stergiopulos HX IX 219 den Namen Βαγενίτη von ngr. βαγένι »Faß« abzuleiten, das seinerseits slavisches Lehnwort ist, s. G. Meyer, Ngr. Stud. II 15.",
9,1,Epirus,Joannina,Pogoníu,,,Βαλεβίστα,ON,1,10,"10. Βαλεβίστα ON, Kr. Pogoníu (A.), fehlt im Lex. Vgl. damit auch Βαλαβίστα bei Anna Komnena XII, 4 (ed. Bonn, II 149, 18), das einem slav. Valovišta = Demir Hisar = Σιδηρόκαστρον in Mazedonien (s. Kъnčov Makedonija S. 73) entspricht.",
